1101	Pooki	Tiny Mushroom	"Found in the eastern part of Mystic Woods. He says he hates Goblins, but he just might be scared."	[Easy] Mystic Woods\n[Normal] Mystic Woods\n[Hard] Mystic Woods
1102	Ahri	Baby Sprout	"A rare, timid plant found in the eastern part of Mystic Woods. Ahri hides when humans are near."	[Easy] Mystic Woods\n[Normal] Mystic Woods\n[Hard] Mystic Woods
1103	Popo	Slime Guard	"Born from the old tree saps in Mystic Woods, Popo guards Pepe the Slime King."	[Easy] Mystic Woods\n[Normal] Mystic Woods\n[Hard] Mystic Woods
1104	Pepe	Slime King	He inherited the crown from his father; he hates confrontations. Rumor has it Pepe wears a fake crown\nbecause the real one was too heavy for him.	"[Easy] Mystic Woods 1-5, 1-10\n[Normal] Mystic Woods 1-5, 1-10\n[Hard] Mystic Woods 1-5, 1-10"
1105	Pon	Panda	He tends to bounce around everywhere. Known to be stubborn and prideful.	[Easy] Mystic Woods 1-6 ~ 1-10\n[Normal] Mystic Woods 1-6 ~ 1-10\n[Hard] Mystic Woods 1-6 ~ 1-10
1106	Beskin	Goblin	"Found in the northern part of Mystic Woods, this mischeivious Goblin often harasses heroes in Mystic Woods."	[Easy] Mystic Woods 1-6 ~ 1-10\n[Normal] Mystic Woods 1-6 ~ 1-10\n[Hard] Mystic Woods 1-6 ~ 1-10
1107	Hokin	Goblin Captain	"Captain of the Goblins. Hokin helps his father, the Goblin Chief, who conquered Wind Forest."	[Easy] Mystic Woods 1-10\n[Normal] Mystic Woods 1-10\n[Hard] Mystic Woods 1-10
1201	Cellops	Giant Spider	A giant spider nesting within Silent Mine. He is in a constant territorial feud with the Giant Bat Babel.	[Easy] Silent Mine\n[Normal] Silent Mine\n[Hard] Silent Mine
1202	Syllops	Venomous	Syllops inhabits the deepest part of Silent Mine. He grew in size by hunting the wandering monsters\nin the mine with his deadly venom.	[Easy] Silent Mine\n[Normal] Silent Mine\n[Hard] Silent Mine
1203	Nami	Miner	"After hearing about the abundance of rubies in Silent Mine, greedy Nami decided to dress as a miner\nto fool the Orcs to get in on the mining action."	[Easy] Silent Mine\n[Normal] Silent Mine\n[Hard] Silent Mine
1205	Babel	Giant Bat	"Found deep within Silent Mine, Babel is in a territorial dispute with the Giant Spider Syllops."	[Easy] Silent Mine 2-6 ~ 2-10\n[Normal] Silent Mine 2-6 ~ 2-10\n[Hard] Silent Mine 2-6 ~ 2-10
1204	Smoky	Mine Guard	"Originally a famous mercenary, Kobold Smoky is now working for the Orcs as a mine guard.\nHis crossbow skills are second to none."	"[Easy] Silent Mine 2-5, 2-10\n[Normal] Silent Mine 2-5, 2-10\n[Hard] Silent Mine 2-5, 2-10"
1206	Cocoon	Orc	Cocoon is a devoted follower of the Orc Leader ever since they lived in Blazing Desert.\nHe is a fierce warrior who can wield great power.	[Easy] Silent Mine 2-6 ~ 2-10\n[Normal] Silent Mine 2-6 ~ 2-10\n[Hard] Silent Mine 2-6 ~ 2-10
